,지점명,년,5월평균기온,5월합강수량(mm),5월합계일조시간,6월평균기온,6월합강수량(mm),6월합계일조시간,7월평균기온,7월합강수량(mm),7월합계일조시간,8월평균기온,8월합강수량(mm),8월합계일조시간,단위면적당 생산량
22,속초,2018,15.9,123.6,186.4,21.3,46.5,208.8,25.0,185.4,209.3,25.6,625.0,185.3,444.25014
23,속초,2019,19.8,5.7,296.2,20.0,97.8,224.8,24.7,234.4,196.0,25.7,293.5,230.7,504.41472
24,속초,2020,17.1,245.1,218.5,22.2,271.9,238.7,21.6,374.7,168.5,25.7,411.3,128.4,427.08672
25,속초,2021,16.7,154.9,239.6,20.3,43.8,185.7,25.5,104.1,270.0,24.4,247.1,133.0,515.7393
26,속초,2022,18.5,9.1,312.7,20.9,248.7,169.6,24.3,213.1,135.5,24.6,323.7,151.1,478.7407
27,속초,2023,17.0,81.0,232.6,21.9,200.1,244.9,25.8,108.2,184.5,24.7,669.6,121.9,480.6806
28,철원,1996,16.4,62.1,227.4,20.9,227.2,119.6,22.6,745.4,146.1,23.5,78.1,158.1,491.0
29,철원,1997,14.9,274.8,156.4,21.4,92.3,213.0,24.8,224.9,203.7,24.6,201.3,211.9,553.0
30,철원,1998,17.2,141.4,227.6,20.5,184.1,186.8,23.1,339.9,171.2,23.4,539.2,146.5,505.0
31,철원,1999,16.0,81.2,219.2,21.2,66.3,221.1,24.1,482.6,162.2,24.0,567.5,209.7,534.0
32,철원,2000,15.9,85.9,159.4,21.9,116.9,190.6,25.0,115.0,150.2,24.2,479.6,131.6,501.0
33,철원,2001,17.8,13.7,216.2,21.1,224.5,126.3,24.2,603.3,122.3,23.8,229.4,220.8,532.0
34,철원,2002,16.6,47.6,218.8,20.3,66.5,224.9,23.1,249.6,121.4,22.4,532.6,82.0,511.0
35,철원,2003,17.0,54.5,246.9,20.0,150.2,153.0,22.2,277.7,130.1,22.1,756.1,119.1,484.0
36,철원,2004,15.8,126.2,157.1,21.0,87.4,160.4,22.8,462.0,91.1,22.9,84.3,153.7,502.0
37,철원,2005,15.4,95.9,229.8,21.3,158.0,144.0,23.5,276.2,108.9,23.0,331.6,116.9,492.0
38,철원,2006,16.5,139.0,187.5,20.2,196.5,154.7,22.1,638.6,55.8,25.1,54.5,190.2,483.37969
39,철원,2007,16.6,165.5,200.7,21.8,105.2,210.2,22.7,279.8,136.5,24.6,493.0,115.7,472.20939
40,철원,2008,16.1,89.3,190.6,20.0,117.8,185.1,24.1,650.3,81.3,23.6,328.4,226.9,519.3502
41,철원,2009,17.3,99.9,225.5,20.5,203.1,172.9,22.8,539.3,152.7,23.5,432.1,175.0,562.72498
42,철원,2010,16.2,97.7,178.9,22.1,123.1,207.7,24.8,347.6,88.0,25.3,574.7,96.1,486.36473
43,철원,2011,16.7,102.1,191.6,21.3,299.5,188.3,24.0,738.5,87.5,24.4,200.0,105.4,512.57165
44,철원,2012,17.5,24.3,228.5,22.2,108.7,202.8,23.8,227.7,103.1,24.8,466.7,148.1,514.92032
45,철원,2013,16.9,84.6,228.6,22.8,23.3,238.9,24.6,1009.2,115.9,25.8,208.7,224.9,463.3752
46,철원,2014,17.4,81.6,303.5,21.5,75.6,187.2,24.5,186.7,207.1,23.1,105.0,159.8,594.4797
47,철원,2015,17.6,35.8,298.0,21.6,79.6,274.5,23.8,458.0,197.7,24.1,140.6,246.5,572.03241
48,철원,2016,17.7,149.9,248.1,22.1,27.1,230.1,24.1,460.5,153.9,25.3,63.7,230.5,576.00834
49,철원,2017,17.7,36.0,277.6,21.3,74.2,272.3,25.5,575.2,119.9,23.6,354.9,145.9,522.44254
50,철원,2018,16.8,263.1,231.4,21.7,122.3,232.2,25.4,174.2,234.6,26.3,527.0,235.2,573.88592
51,철원,2019,17.8,26.4,340.0,20.9,57.1,284.6,24.2,305.3,211.8,24.8,156.9,267.7,551.66927
52,철원,2020,16.9,161.7,241.9,22.5,92.2,267.3,22.8,184.5,210.6,25.1,903.0,136.8,445.32476
53,철원,2021,15.5,199.1,247.5,21.2,67.6,247.4,26.1,117.2,289.1,23.6,219.6,211.3,578.5822
54,철원,2022,16.7,14.5,327.7,21.2,437.2,195.6,25.2,247.6,227.5,24.0,420.4,176.3,508.4078
55,철원,2023,17.4,161.9,280.8,21.7,220.4,234.1,25.4,383.4,202.3,25.1,241.6,198.5,579.3253
56,동두천,1998,17.6,132.7,189.9,20.9,196.0,154.6,23.9,344.7,134.9,24.1,997.2,104.8,486.0
57,동두천,1999,16.3,113.4,236.0,21.8,77.6,225.1,24.9,276.8,138.6,24.9,748.5,187.2,435.0
58,동두천,2000,16.3,68.1,162.6,22.4,80.5,199.1,25.4,166.0,163.7,24.8,720.1,152.1,467.0
59,동두천,2001,18.0,8.0,214.4,21.5,262.3,137.8,24.8,582.3,112.4,25.3,179.9,226.1,502.0
60,동두천,2002,17.1,54.2,227.9,20.9,68.2,232.1,24.0,299.9,128.3,23.2,458.1,73.5,411.0
61,동두천,2003,18.4,92.5,249.3,20.9,204.0,154.8,23.5,319.6,124.4,23.5,618.6,112.2,451.0
62,동두천,2004,15.9,163.4,160.2,21.3,56.1,165.4,23.1,593.0,78.7,24.3,130.1,146.2,418.0
63,동두천,2005,16.0,61.1,250.5,21.6,196.7,150.6,24.3,364.1,88.6,24.0,335.7,106.4,435.0
64,동두천,2006,17.0,132.8,192.1,20.3,156.5,159.8,22.3,718.0,46.0,25.5,73.2,191.1,445.62158
65,동두천,2007,16.7,112.0,194.6,21.6,62.4,191.1,22.8,242.0,106.5,24.8,441.9,105.5,432.72177
66,동두천,2008,16.8,89.6,196.8,20.8,155.2,174.0,24.5,725.6,80.9,24.5,233.1,220.4,470.53102
67,동두천,2009,18.3,115.7,234.1,21.3,124.6,176.2,23.3,476.6,134.9,24.4,448.3,164.6,485.87277
68,동두천,2010,16.3,112.2,172.7,22.1,269.1,212.1,24.8,324.4,107.0,25.2,512.6,104.6,408.59369
69,동두천,2011,16.8,132.8,191.3,21.2,383.1,185.9,23.8,1223.5,86.5,24.3,272.7,96.5,395.1905
70,파주,2002,16.7,52.0,227.5,20.6,55.2,228.0,24.0,345.3,136.3,23.3,407.7,84.2,483.0
71,파주,2003,17.8,54.0,249.7,20.5,196.3,164.9,23.4,323.2,137.4,23.2,603.2,118.9,469.0
72,파주,2004,16.2,147.2,157.2,21.7,49.3,160.1,23.6,512.1,77.1,24.3,118.6,154.6,491.0
73,파주,2005,15.9,88.5,253.5,21.8,115.3,151.4,24.5,237.1,102.3,24.1,268.4,115.8,485.0
74,파주,2006,17.0,169.9,196.0,20.7,188.2,158.9,23.0,669.0,61.3,25.8,56.3,199.7,463.70639
75,파주,2007,16.4,133.6,200.7,21.5,89.4,194.3,23.2,305.0,112.1,25.3,270.8,108.2,464.30072
76,파주,2008,16.0,63.6,198.9,20.3,79.6,191.7,24.1,576.6,88.2,24.2,295.1,221.2,505.45792
77,파주,2009,17.5,150.6,228.0,21.0,106.1,180.9,23.3,388.5,159.2,24.2,424.0,189.5,515.79331
78,파주,2010,15.9,115.6,172.4,22.1,160.9,207.8,25.1,328.2,121.1,25.7,525.9,108.7,447.20199
79,파주,2011,16.8,120.1,191.7,21.0,341.1,171.7,24.3,1093.1,93.4,25.0,235.2,99.9,434.16057
80,파주,2012,18.2,26.4,256.2,23.3,81.2,247.6,24.9,293.0,145.3,26.2,540.3,182.9,479.12006
81,파주,2013,17.1,139.6,227.7,23.5,33.9,248.7,25.4,692.0,104.5,27.2,151.9,234.9,482.96548
82,파주,2014,16.8,70.7,301.4,21.7,59.4,196.8,24.7,164.6,200.9,23.7,120.2,182.6,513.79756
83,파주,2015,17.0,26.8,288.7,21.5,82.8,259.5,24.1,220.1,198.8,24.5,33.5,233.8,546.48968
84,파주,2016,17.4,157.7,264.3,21.5,28.6,239.8,24.4,377.9,174.5,26.0,31.9,253.7,486.52113
85,파주,2017,16.8,44.1,299.6,20.9,42.7,290.2,25.3,364.3,135.5,23.7,318.1,174.6,480.06858
86,파주,2018,16.0,208.2,236.0,20.8,137.0,230.2,25.5,127.4,245.2,26.5,129.5,230.2,473.84479
87,파주,2019,17.3,37.1,314.4,20.6,62.2,222.8,24.3,259.6,158.8,25.1,161.9,250.1,467.25968
88,파주,2020,16.4,131.8,190.4,22.0,131.4,227.6,22.7,231.2,162.3,25.2,682.6,108.1,461.36144
89,파주,2021,15.5,243.0,212.8,21.1,50.4,198.9,26.1,93.6,256.6,24.1,183.3,180.1,524.8913
90,파주,2022,16.4,12.7,301.9,21.2,509.9,156.6,25.4,290.2,187.4,24.1,353.5,160.6,504.1527
91,파주,2023,17.2,139.2,232.7,21.5,212.0,188.7,25.2,441.0,157.9,25.2,247.8,160.1,499.9203
92,춘천,1996,17.5,23.3,216.0,22.0,236.1,114.3,23.5,545.7,156.7,24.6,74.3,163.4,433.0
93,춘천,1997,15.8,281.9,157.7,21.6,110.7,218.5,25.1,241.3,210.7,25.3,155.4,212.9,476.0
94,춘천,1998,17.8,92.2,228.2,21.0,183.3,178.0,24.0,366.0,150.8,24.3,663.9,144.9,460.0
95,춘천,1999,16.6,103.8,254.5,22.1,93.4,249.5,24.9,226.1,170.2,24.5,563.0,207.8,459.0
96,춘천,2000,16.7,80.1,159.6,22.7,113.2,206.2,26.0,182.2,152.3,24.6,481.6,145.4,454.0
97,춘천,2001,18.8,12.3,229.3,22.5,178.0,149.1,25.4,520.3,125.3,25.2,193.4,222.2,440.0
98,춘천,2002,17.9,55.6,222.6,21.7,79.6,227.9,25.2,214.6,148.2,24.1,413.2,75.1,469.0
99,춘천,2003,18.2,125.5,244.8,21.3,121.9,156.1,23.7,340.9,137.3,23.6,632.7,116.4,439.0
100,춘천,2004,17.3,135.0,160.5,22.6,105.7,175.6,24.7,532.3,89.9,24.7,215.6,145.6,451.0
101,춘천,2005,17.1,72.3,242.5,23.0,160.0,158.6,25.4,321.7,118.4,24.5,340.5,127.1,439.0
102,춘천,2006,17.6,125.8,196.8,21.6,164.0,170.4,23.1,908.2,58.2,26.0,136.8,187.7,427.90347
103,춘천,2007,17.6,138.5,191.5,22.3,53.9,200.9,23.9,217.9,123.6,25.3,446.0,109.5,427.57123
104,춘천,2008,16.8,108.2,207.5,20.5,170.1,199.7,25.1,597.3,101.1,24.1,297.5,213.9,486.228
105,춘천,2009,18.2,97.9,233.1,21.5,156.9,186.7,23.8,627.7,159.7,24.1,279.4,180.1,478.50757
106,춘천,2010,17.2,106.1,195.0,22.9,54.9,219.8,25.5,220.5,119.0,26.0,468.1,104.4,442.2648
107,춘천,2011,17.1,119.5,191.4,21.9,459.6,201.0,24.4,932.5,82.7,25.1,161.1,113.2,450.33353
108,춘천,2012,18.2,42.6,235.7,23.1,116.4,208.6,25.0,285.9,118.3,25.9,352.7,151.3,448.92754
109,춘천,2013,17.9,109.8,208.1,23.8,71.1,215.3,25.3,871.3,95.8,26.7,214.1,205.6,455.06549
110,춘천,2014,18.9,66.6,293.0,23.1,64.0,177.9,25.7,117.3,199.3,24.1,169.9,146.6,513.64309
111,춘천,2015,19.1,34.7,285.8,23.4,46.8,252.1,25.0,233.6,162.9,25.6,46.8,215.4,545.2433
112,춘천,2016,18.9,109.1,262.5,23.4,93.2,241.2,25.2,617.1,152.9,26.5,33.2,220.8,566.11208
113,춘천,2017,19.1,22.0,272.8,22.8,88.9,258.9,26.6,530.4,126.1,24.5,343.1,146.8,547.72155
114,춘천,2018,17.7,201.9,231.5,23.1,104.1,252.0,26.7,213.6,245.0,27.3,389.5,232.7,558.43488
115,춘천,2019,19.0,27.1,309.1,22.1,76.4,249.3,25.6,238.6,158.7,26.2,192.3,238.5,501.83
116,춘천,2020,18.1,118.3,208.9,24.2,75.8,241.9,23.8,174.3,150.5,26.1,773.7,101.1,468.24644
117,춘천,2021,16.4,172.3,202.2,22.3,99.7,207.7,27.3,169.5,262.5,24.9,129.6,158.6,514.1362
118,춘천,2022,18.1,10.9,302.9,22.6,402.5,171.0,26.6,208.2,187.3,25.2,491.7,141.1,501.2198
119,춘천,2023,18.0,115.6,249.5,22.5,263.2,226.5,25.9,313.5,165.6,26.0,215.2,173.5,522.6469
120,강릉,1996,16.5,17.6,197.6,19.6,279.0,111.2,23.6,193.9,155.3,23.6,220.2,160.3,432.0
121,강릉,1997,17.2,239.6,185.1,21.5,101.0,209.1,25.5,143.9,231.1,25.4,143.4,173.7,446.0
122,강릉,1998,18.9,49.8,233.7,19.7,215.7,116.7,22.8,501.1,51.3,24.4,268.2,125.2,403.0
123,강릉,1999,18.6,211.0,250.1,22.8,100.1,218.3,24.1,110.7,139.1,23.9,462.0,122.1,414.0
124,강릉,2000,17.0,47.6,167.2,21.7,114.3,174.4,27.2,86.4,187.2,25.4,214.1,131.1,451.0
125,강릉,2001,18.8,25.4,182.7,22.1,121.3,131.7,26.5,122.9,166.7,24.6,81.2,175.0,463.0
126,강릉,2002,17.1,78.8,217.8,21.3,33.3,211.0,23.6,224.7,117.4,23.4,1137.0,97.7,334.0
127,강릉,2003,16.2,149.8,182.0,21.2,157.3,156.7,21.4,223.1,80.2,23.2,284.3,106.2,396.0
128,강릉,2004,18.2,54.1,200.4,22.0,224.5,185.8,24.5,404.1,136.7,23.6,503.4,149.0,451.0
129,강릉,2005,16.1,58.7,217.0,22.8,193.3,170.4,25.3,218.7,165.7,25.9,201.0,158.6,471.0
130,강릉,2006,16.9,98.6,172.0,20.2,77.1,141.6,21.9,757.3,39.6,26.3,204.1,174.8,469.10518
131,강릉,2007,18.3,111.5,202.3,21.5,44.4,182.6,22.7,311.2,93.7,26.4,158.9,117.1,445.47075
132,강릉,2008,18.8,69.3,191.6,19.8,106.7,152.0,26.7,322.7,156.2,24.0,330.6,167.6,468.99388
133,강릉,2009,19.0,43.0,214.4,21.6,102.6,161.9,22.8,405.1,113.5,23.3,170.2,119.9,515.84845
134,강릉,2010,17.4,110.0,184.1,22.0,34.7,217.3,25.8,88.5,127.6,26.5,175.4,104.1,443.29668
135,강릉,2011,16.0,88.0,135.9,22.0,343.0,184.3,23.4,318.2,65.4,25.3,121.2,120.4,486.7204
136,강릉,2012,17.6,52.7,219.3,20.6,26.8,121.2,25.3,261.2,182.7,25.1,295.3,91.5,393.97446
137,강릉,2013,18.1,78.7,244.4,21.5,36.0,173.6,27.0,241.9,166.0,28.5,54.6,240.5,463.36496
138,강릉,2014,20.0,9.9,259.0,20.9,55.7,122.5,26.1,109.5,220.7,23.7,336.9,123.9,478.72518
139,강릉,2015,20.0,3.1,288.3,21.0,175.0,184.0,23.8,62.9,173.7,25.8,224.8,235.7,484.69054
140,강릉,2016,19.3,33.6,285.9,21.9,40.7,205.1,24.1,424.2,141.2,25.8,282.6,235.5,509.67828
141,강릉,2017,20.3,25.0,277.9,21.2,27.2,250.9,26.8,238.1,179.2,24.3,444.1,139.9,447.43507
142,강릉,2018,17.3,162.9,208.6,23.2,38.6,235.5,26.8,195.5,219.3,26.2,419.1,182.9,449.22065
143,강릉,2019,21.0,4.5,296.0,21.4,132.2,225.7,25.8,220.8,202.1,26.5,264.5,226.0,531.9639
144,강릉,2020,18.3,95.5,207.4,24.1,270.4,212.7,22.4,375.9,125.9,27.0,150.4,113.3,418.69456
145,강릉,2021,17.9,157.5,205.4,22.0,32.5,159.1,26.7,142.2,214.7,25.5,438.1,72.9,522.4949
146,강릉,2022,20.3,5.8,273.0,23.6,186.0,162.8,26.3,227.9,115.8,26.6,307.5,126.5,504.1996
147,강릉,2023,20.3,91.1,223.4,23.2,160.0,220.3,27.5,104.7,161.1,26.2,520.8,139.0,472.2178
148,동해,1996,14.9,19.0,197.6,17.8,168.9,94.6,21.8,148.2,155.8,22.7,191.9,172.9,448.0
149,동해,1997,16.1,161.6,162.5,19.8,75.4,167.2,23.4,125.9,219.9,23.9,120.4,183.3,460.0
150,동해,1998,17.1,48.4,218.1,18.7,156.9,117.5,22.1,429.3,60.9,23.5,207.1,122.8,396.0
151,동해,1999,17.0,147.0,254.5,20.2,108.2,216.5,22.6,103.6,132.0,22.9,384.9,130.7,448.0
152,동해,2000,15.5,63.8,182.0,19.4,105.7,199.2,24.9,72.4,197.2,24.1,175.3,143.1,430.0
153,동해,2001,17.6,22.5,197.2,20.3,127.8,140.6,24.2,124.9,188.4,23.5,67.3,201.7,492.0
154,동해,2002,15.1,105.4,233.7,18.6,33.3,235.4,20.9,261.5,123.6,21.9,689.0,110.5,375.0
155,동해,2003,14.5,136.0,179.6,19.8,162.0,153.6,20.7,196.9,92.2,22.4,254.4,121.0,394.0
156,동해,2004,17.1,44.1,203.8,20.6,313.8,212.9,23.7,279.5,145.0,22.9,424.1,167.6,455.0
157,동해,2005,14.6,31.5,240.1,20.4,76.5,170.6,23.9,239.5,176.2,24.4,172.8,179.4,469.0
158,동해,2006,14.6,98.7,166.2,18.7,45.7,158.9,21.2,910.7,54.5,24.9,261.1,190.7,483.64588
159,동해,2007,17.2,86.1,239.6,19.8,79.5,189.8,21.9,242.0,100.0,24.9,153.8,146.2,433.6892
160,동해,2008,16.9,48.5,194.4,18.9,90.6,154.4,25.3,252.1,158.3,23.2,154.3,173.4,490.57129
161,동해,2009,17.9,58.4,233.6,20.9,83.1,184.5,22.2,281.5,135.9,23.2,120.4,148.7,500.70499
162,동해,2010,16.2,108.1,203.6,20.4,18.1,256.2,24.3,85.4,159.7,25.4,148.1,121.2,467.20494
163,동해,2011,15.0,104.5,151.3,20.2,333.3,202.2,22.2,292.8,101.3,24.3,124.5,139.6,482.15517
164,동해,2012,16.3,38.9,241.9,19.4,28.4,158.8,23.9,287.0,206.9,24.8,233.6,142.2,489.22281
165,동해,2013,16.7,85.8,243.5,20.0,55.6,159.1,25.7,202.0,174.9,27.4,63.4,251.4,460.19116
166,동해,2014,18.7,7.0,287.4,20.0,48.9,139.7,24.6,66.2,211.5,22.8,382.4,113.4,520.99404
167,동해,2015,18.5,2.9,291.4,19.6,143.7,177.3,22.9,80.3,171.7,25.2,150.1,198.5,537.05537
168,동해,2016,18.1,24.8,286.5,21.2,22.9,190.7,23.4,307.5,131.5,25.6,137.0,231.3,501.23901
169,동해,2017,19.3,17.9,287.8,20.2,61.7,254.3,25.4,178.9,165.1,24.4,402.4,131.2,500.84999
170,동해,2018,16.2,63.6,202.4,20.8,36.6,215.3,24.6,286.0,228.3,24.9,219.8,164.8,505.64663
171,동해,2019,18.4,3.3,231.1,18.6,125.4,227.2,23.4,191.4,192.6,24.1,149.9,231.7,504.24604
172,동해,2020,16.3,90.3,223.9,20.8,120.4,241.1,20.2,346.1,149.8,24.4,171.9,143.6,456.23426
173,동해,2021,15.8,116.9,220.6,19.8,40.6,187.4,24.6,110.8,259.9,23.8,423.3,108.3,486.9875
174,동해,2022,18.3,4.4,283.3,21.1,118.0,171.7,23.9,159.7,149.2,24.4,237.2,134.6,466.9925
175,동해,2023,17.4,73.6,238.6,21.5,111.6,241.2,24.7,75.4,175.6,24.8,392.8,181.7,477.0739
176,서울,1996,18.4,29.3,264.0,22.3,249.7,129.5,24.4,512.8,146.2,26.0,132.4,140.7,475.0
177,서울,1997,17.0,291.3,173.4,23.4,110.0,227.8,26.1,299.6,168.4,26.8,117.2,206.0,431.0
178,서울,1998,19.0,121.5,214.8,21.9,234.1,163.7,24.9,311.8,137.2,25.0,1237.8,114.1,404.0
179,서울,1999,17.5,109.7,235.1,23.1,131.8,217.5,25.9,230.4,130.4,26.0,600.5,161.4,428.0
180,서울,2000,17.5,75.2,138.3,23.7,68.1,133.0,26.8,114.7,108.2,26.2,599.4,112.8,478.0
181,서울,2001,19.1,16.5,163.1,22.5,157.4,100.9,25.9,698.4,82.4,26.5,252.0,168.7,459.0
182,서울,2002,18.2,58.0,175.0,22.2,61.4,162.9,25.2,220.6,84.1,24.2,688.0,52.4,464.0
183,서울,2003,19.6,106.0,170.7,21.5,156.0,101.8,23.8,469.8,86.6,24.1,684.2,83.0,451.0
184,서울,2004,17.6,168.5,166.9,23.2,138.1,151.5,24.8,510.7,85.4,26.1,193.3,147.8,476.0
185,서울,2005,17.7,85.8,235.3,22.7,168.5,138.3,25.3,269.4,79.4,25.1,285.0,103.1,471.0
186,서울,2006,18.4,156.2,199.1,21.8,168.5,155.8,23.1,1014.0,34.3,27.0,121.2,177.1,468.28223
187,서울,2007,18.1,137.6,197.3,23.2,54.5,175.2,24.2,274.1,91.5,26.5,237.6,105.7,438.63733
188,서울,2008,17.7,97.7,213.8,21.5,165.0,173.8,25.1,530.8,78.7,25.3,251.2,196.6,509.94832
189,서울,2009,19.1,109.0,240.2,22.4,132.0,181.0,24.3,659.4,115.8,25.7,285.3,150.9,479.4705
190,서울,2010,17.2,124.0,178.5,23.4,127.6,203.0,25.8,239.2,89.8,26.5,598.7,96.5,435.01798
191,서울,2011,17.9,53.4,180.4,22.0,404.5,170.8,24.6,1131.0,80.4,25.8,166.8,94.0,442.06856
192,서울,2012,19.7,8.2,251.3,24.1,91.9,232.0,25.4,448.9,144.0,27.1,464.9,158.7,463.56542
193,서울,2013,18.2,132.0,238.1,24.4,28.3,224.0,25.5,676.2,101.0,27.7,148.6,217.9,457.96235
194,서울,2014,18.9,63.0,304.0,23.1,98.1,184.9,26.1,207.9,172.7,25.2,172.8,150.7,493.19848
195,서울,2015,18.9,28.9,290.4,23.6,99.0,258.1,25.8,226.0,176.1,26.3,72.9,207.0,512.59636
196,서울,2016,19.6,160.5,280.1,23.6,54.4,229.7,26.2,358.2,160.4,28.0,67.1,236.1,512.59469
197,서울,2017,19.5,16.1,301.5,23.3,66.6,285.2,26.9,621.0,123.1,25.9,297.0,166.2,484.16454
198,서울,2018,18.2,222.0,231.6,23.1,171.5,236.6,27.8,185.6,228.5,28.8,202.6,232.5,499.89324
199,서울,2019,19.4,37.8,314.0,22.5,74.0,235.1,25.9,194.4,150.1,27.2,190.5,239.3,487.64564
200,서울,2020,18.0,112.4,177.9,23.9,139.6,206.1,24.1,270.4,119.4,26.5,675.7,74.7,463.5064
201,서울,2021,17.1,183.1,203.7,22.8,104.6,185.5,28.1,168.3,195.2,25.9,211.2,127.3,512.1712
202,서울,2022,19.1,7.5,302.3,23.3,393.8,131.9,27.3,252.3,140.1,25.7,564.8,116.3,498.1433
203,서울,2023,19.5,155.6,235.6,23.4,195.6,195.1,26.7,459.9,146.1,27.2,298.1,156.1,501.0621
204,인천,1996,16.1,19.9,290.6,20.7,236.8,138.9,23.6,276.1,174.4,25.4,69.6,203.4,512.0
205,인천,1997,15.9,285.5,211.5,21.8,75.6,248.2,24.9,229.9,210.9,26.1,343.5,256.8,503.0
206,인천,1998,17.4,103.2,216.3,20.6,187.4,190.5,24.1,326.3,187.1,24.9,568.1,178.1,490.0
207,인천,1999,16.0,109.6,252.6,21.4,67.4,236.5,24.8,187.4,165.4,25.4,565.1,185.6,490.0
208,인천,2000,16.5,63.5,180.8,22.3,62.3,182.5,26.1,78.7,182.1,26.5,591.0,157.4,482.0
209,인천,2001,18.1,19.7,222.5,22.0,153.4,160.2,25.6,591.7,141.3,26.6,168.4,239.2,472.0
210,인천,2002,17.5,66.9,226.4,21.7,45.2,239.9,25.2,214.7,173.2,24.5,411.4,84.1,518.0
211,인천,2003,18.1,99.6,237.6,20.4,148.8,153.9,23.0,351.4,134.6,23.4,588.3,106.7,484.0
212,인천,2004,16.2,169.0,173.8,21.8,97.5,169.1,23.6,410.4,102.4,25.3,111.0,181.5,508.0
213,인천,2005,17.3,82.0,268.7,21.4,145.3,167.3,24.2,228.9,128.0,24.7,201.3,140.3,492.0
214,인천,2006,17.1,186.5,217.1,20.3,134.0,171.4,22.4,765.0,61.1,26.3,36.2,226.7,460.02282
215,인천,2007,16.6,134.1,216.7,21.6,59.5,188.7,23.0,228.5,114.9,25.5,239.0,127.7,456.43839
216,인천,2008,16.6,63.9,217.2,20.7,102.3,179.2,24.1,522.8,105.6,24.8,165.7,224.1,510.60417
217,인천,2009,17.3,134.5,249.8,20.8,91.4,216.3,23.3,470.6,181.4,25.1,316.0,188.4,469.38239
218,인천,2010,16.1,104.9,192.6,21.9,200.2,222.8,24.7,275.4,147.1,26.1,485.1,135.6,430.51465
219,인천,2011,16.8,44.2,192.5,20.0,307.6,180.6,23.9,864.2,104.5,25.0,208.4,117.6,413.98344
220,인천,2012,18.1,14.0,230.7,22.9,90.8,252.3,24.5,425.3,161.1,26.7,365.2,171.4,486.16331
221,인천,2013,16.0,126.2,239.9,22.2,36.9,247.5,24.1,447.4,102.6,26.9,120.7,245.4,466.9997
222,인천,2014,16.9,74.3,301.2,21.8,62.8,222.5,24.8,227.2,199.7,24.5,122.1,171.1,518.17805
223,인천,2015,17.0,30.1,290.8,21.8,63.6,268.7,24.5,175.8,192.0,25.8,45.5,229.0,500.18193
224,인천,2016,18.3,148.5,281.6,22.1,19.5,246.0,25.2,300.5,184.2,27.4,26.5,263.1,504.99655
