id,path,label1,label2,len
IGBDEZWR,./train/IGBDEZWR.ogg,fake,fake,1408.0
HKFVWOIR,./train/HKFVWOIR.ogg,fake,fake,1164.0
TRPMKLER,./train/TRPMKLER.ogg,fake,fake,1818.0
CTSZQBDP,./train/CTSZQBDP.ogg,real,real,2786.0
VWNPRMMP,./validate/VWNPRMMP.ogg,fake,fake,3105.0
DMDVEACR,./validate/DMDVEACR.ogg,fake,fake,1770.0
XEEYGMEM,./train/XEEYGMEM.ogg,real,real,3599.0
MCVEOQUV,./train/MCVEOQUV.ogg,fake,fake,1868.0
SLADBRFZ,./train/SLADBRFZ.ogg,fake,fake,4273.0
HNJCYNPW,./train/HNJCYNPW.ogg,real,real,4341.0
PTSASGSH,./train/PTSASGSH.ogg,fake,fake,1406.0
QJOMRQGH,./train/QJOMRQGH.ogg,fake,fake,1415.0
NPYYNKLW,./train/NPYYNKLW.ogg,fake,fake,2096.0
XVYSVGZO,./train/XVYSVGZO.ogg,real,real,5811.0
YCTVGGXO,./train/YCTVGGXO.ogg,fake,fake,1003.0
QYZJWFGW,./validate/QYZJWFGW.ogg,real,real,2850.0
QQANGEIP,./train/QQANGEIP.ogg,fake,fake,1481.0
VUFXATFZ,./train/VUFXATFZ.ogg,real,real,5237.0
CZGNMUYX,./validate/CZGNMUYX.ogg,real,real,2359.0
FDFVKKIW,./train/FDFVKKIW.ogg,real,real,2679.0
CFTDTTWV,./too_short/CFTDTTWV.ogg,fake,fake,632.0
BUSQUDYF,./train/BUSQUDYF.ogg,real,real,6763.0
LXGBCTTD,./train/LXGBCTTD.ogg,fake,fake,2035.0
UGBJCTEY,./train/UGBJCTEY.ogg,real,real,1454.0
KLSMMUYZ,./train/KLSMMUYZ.ogg,fake,fake,2190.0
MGWOWPBH,./train/MGWOWPBH.ogg,fake,fake,1995.0
GLVPNCRC,./train/GLVPNCRC.ogg,real,real,2338.0
RWUSPUZQ,./train/RWUSPUZQ.ogg,real,real,4564.0
EHHREOQJ,./validate/EHHREOQJ.ogg,real,real,1985.0
IFNOFNNF,./train/IFNOFNNF.ogg,fake,fake,1549.0
SZEHFVVM,./too_short/SZEHFVVM.ogg,fake,fake,816.0
VTAEBIKP,./train/VTAEBIKP.ogg,fake,fake,1779.0
TGRGRIYH,./train/TGRGRIYH.ogg,fake,fake,1345.0
PRMXZLBL,./train/PRMXZLBL.ogg,real,real,5204.0
RBEIDMJC,./train/RBEIDMJC.ogg,fake,fake,1376.0
YDLASOVB,./too_short/YDLASOVB.ogg,fake,fake,685.0
NLRHIXDZ,./train/NLRHIXDZ.ogg,real,real,1287.0
IAHDCXUC,./validate/IAHDCXUC.ogg,fake,fake,1111.0
CLBUCOPD,./validate/CLBUCOPD.ogg,real,real,3305.0
MUKYZDCN,./validate/MUKYZDCN.ogg,real,real,3755.0
WQNGTUCZ,./train/WQNGTUCZ.ogg,real,real,4816.0
UWKFIUXR,./train/UWKFIUXR.ogg,fake,fake,1386.0
BDEZLINW,./train/BDEZLINW.ogg,real,real,1986.0
RYGKDIBL,./validate/RYGKDIBL.ogg,real,real,2769.0
GHRXEGFX,./train/GHRXEGFX.ogg,real,real,2926.0
LUFNOVBQ,./train/LUFNOVBQ.ogg,fake,fake,1317.0
SUTURTHR,./train/SUTURTHR.ogg,fake,fake,1999.0
VKKGAQRP,./too_short/VKKGAQRP.ogg,fake,fake,856.0
RNZGKJHM,./train/RNZGKJHM.ogg,real,real,6591.0
DLTZBSSY,./train/DLTZBSSY.ogg,real,real,6464.0
OOLKCJGH,./train/OOLKCJGH.ogg,real,real,5361.0
SPTPISXM,./train/SPTPISXM.ogg,fake,fake,1064.0
ISZJJTFM,./validate/ISZJJTFM.ogg,real,real,3525.0
WICCNZUN,./train/WICCNZUN.ogg,real,real,2221.0
OBUKYABE,./train/OBUKYABE.ogg,fake,fake,1202.0
KJUTNXFB,./train/KJUTNXFB.ogg,fake,fake,1917.0
RRXXGVXQ,./train/RRXXGVXQ.ogg,fake,fake,1387.0
GVJMLITI,./train/GVJMLITI.ogg,fake,fake,1192.0
ERSBCXAK,./train/ERSBCXAK.ogg,real,real,5703.0
WFDGWNUL,./train/WFDGWNUL.ogg,real,real,4889.0
KBTAPFGC,./train/KBTAPFGC.ogg,fake,fake,1459.0
NXFUCNDH,./train/NXFUCNDH.ogg,fake,fake,2407.0
AZFPMWUR,./train/AZFPMWUR.ogg,fake,fake,1937.0
BNHDIWVH,./train/BNHDIWVH.ogg,fake,fake,1978.0
VPTWYKLM,./train/VPTWYKLM.ogg,real,real,3345.0
HGGKNZXK,./validate/HGGKNZXK.ogg,fake,fake,1098.0
OXXVUZVW,./train/OXXVUZVW.ogg,real,real,9047.0
YPEMXPLV,./validate/YPEMXPLV.ogg,real,real,9856.0
AZMMDTCD,./train/AZMMDTCD.ogg,real,real,3370.0
JKILLHCV,./train/JKILLHCV.ogg,fake,fake,2636.0
MCFPWUPU,./validate/MCFPWUPU.ogg,fake,fake,2717.0
XTYBZSFV,./train/XTYBZSFV.ogg,real,real,8062.0
ZMQYXYQK,./train/ZMQYXYQK.ogg,real,real,3479.0
BYGQCZPX,./train/BYGQCZPX.ogg,real,real,1825.0
FOJBYYHW,./too_short/FOJBYYHW.ogg,fake,fake,728.0
YBNJWOMD,./train/YBNJWOMD.ogg,fake,fake,1442.0
ARKDKYMD,./train/ARKDKYMD.ogg,real,real,1760.0
DPFWVRFQ,./train/DPFWVRFQ.ogg,fake,fake,3127.0
KPSLBTZB,./train/KPSLBTZB.ogg,fake,fake,1241.0
GJEOKTJC,./validate/GJEOKTJC.ogg,real,real,6481.0
BNLQZGBZ,./train/BNLQZGBZ.ogg,fake,fake,1756.0
AQNAIBQB,./validate/AQNAIBQB.ogg,fake,fake,1148.0
EXZPFDAO,./train/EXZPFDAO.ogg,fake,fake,1326.0
VVCHMVFJ,./train/VVCHMVFJ.ogg,real,real,7127.0
NYVRPFWZ,./validate/NYVRPFWZ.ogg,real,real,2800.0
XEKGZTBD,./too_short/XEKGZTBD.ogg,fake,fake,862.0
FTBJTMNW,./validate/FTBJTMNW.ogg,real,real,6306.0
RWNYANOA,./train/RWNYANOA.ogg,real,real,2731.0
FYXDIUSF,./train/FYXDIUSF.ogg,real,real,6677.0
ORLTYEMA,./train/ORLTYEMA.ogg,real,real,4651.0
OEOBKWNE,./too_short/OEOBKWNE.ogg,fake,fake,664.0
CJADHMUO,./too_short/CJADHMUO.ogg,fake,fake,880.0
QSXKSBPM,./train/QSXKSBPM.ogg,real,real,2961.0
EUSPKTHC,./train/EUSPKTHC.ogg,fake,fake,2366.0
BKJCRTPG,./train/BKJCRTPG.ogg,real,real,2263.0
SKAUNEPU,./train/SKAUNEPU.ogg,fake,fake,1123.0
ODVAAZEF,./train/ODVAAZEF.ogg,fake,fake,1325.0
BZXVRSJU,./train/BZXVRSJU.ogg,real,real,7040.0
KTSXKZHL,./train/KTSXKZHL.ogg,fake,fake,1975.0
OMWKAYIQ,./train/OMWKAYIQ.ogg,fake,fake,1626.0
SKQFZHQC,./validate/SKQFZHQC.ogg,fake,fake,1746.0
DLXLVTPV,./train/DLXLVTPV.ogg,real,real,4750.0
PRGDZSZA,./train/PRGDZSZA.ogg,fake,fake,1813.0
FWILEMMX,./validate/FWILEMMX.ogg,real,real,4484.0
MZCYQQFO,./train/MZCYQQFO.ogg,fake,fake,1780.0
GCADMSPW,./too_short/GCADMSPW.ogg,fake,fake,629.0
EGRALVPY,./train/EGRALVPY.ogg,real,real,2370.0
SJHQBVEY,./train/SJHQBVEY.ogg,fake,fake,1062.0
RRUJBLNP,./train/RRUJBLNP.ogg,real,real,1981.0
ZUWSZGNJ,./train/ZUWSZGNJ.ogg,real,real,9253.0
WOAVSGUN,./train/WOAVSGUN.ogg,fake,fake,1948.0
UDFMZDNS,./train/UDFMZDNS.ogg,real,real,2402.0
ADVQXYIM,./train/ADVQXYIM.ogg,real,real,5126.0
WZKFUDAQ,./train/WZKFUDAQ.ogg,fake,fake,2358.0
QLRWESUA,./train/QLRWESUA.ogg,real,real,5245.0
LAMPQMMY,./train/LAMPQMMY.ogg,fake,fake,1640.0
BKPZXZBH,./train/BKPZXZBH.ogg,real,real,2573.0
EAUUMXAE,./train/EAUUMXAE.ogg,real,real,1559.0
RLSHERZI,./train/RLSHERZI.ogg,real,real,3382.0
HEXDROAP,./train/HEXDROAP.ogg,fake,fake,1480.0
PWLYRLAL,./train/PWLYRLAL.ogg,fake,fake,3815.0
ZINOMPWR,./train/ZINOMPWR.ogg,fake,fake,1048.0
HLBQULDW,./train/HLBQULDW.ogg,real,real,2310.0
XFGCLLYY,./validate/XFGCLLYY.ogg,fake,fake,1914.0
LJEWVZJZ,./validate/LJEWVZJZ.ogg,real,real,2731.0
MZBKLUGP,./train/MZBKLUGP.ogg,real,real,9715.0
VCGZQVTR,./train/VCGZQVTR.ogg,real,real,4432.0
SKDTENEK,./train/SKDTENEK.ogg,real,real,3488.0
TUTYIGGG,./train/TUTYIGGG.ogg,fake,fake,1631.0
YHHDJQVM,./train/YHHDJQVM.ogg,fake,fake,1621.0
OZNWHKYF,./too_short/OZNWHKYF.ogg,fake,fake,924.0
CSEXNVPO,./validate/CSEXNVPO.ogg,real,real,1271.0
YAUTGTBU,./too_short/YAUTGTBU.ogg,fake,fake,840.0
UNBTKJBL,./train/UNBTKJBL.ogg,real,real,4911.0
XDIQEGYD,./train/XDIQEGYD.ogg,real,real,3473.0
MWZOXYOF,./train/MWZOXYOF.ogg,real,real,4279.0
VBFJHENP,./train/VBFJHENP.ogg,real,real,5985.0
ETMJAACI,./train/ETMJAACI.ogg,real,real,2385.0
ONLKEESP,./train/ONLKEESP.ogg,fake,fake,1335.0
DXTIAGMS,./train/DXTIAGMS.ogg,fake,fake,3817.0
KXTKBRCF,./too_short/KXTKBRCF.ogg,fake,fake,832.0
MYSSXZIG,./validate/MYSSXZIG.ogg,fake,fake,1772.0
RPWTITWI,./train/RPWTITWI.ogg,fake,fake,1937.0
GGDDMFLR,./train/GGDDMFLR.ogg,real,real,2016.0
NAIXPBIT,./train/NAIXPBIT.ogg,real,real,5107.0
FGIQLJNK,./train/FGIQLJNK.ogg,real,real,2753.0
HIVNVYES,./train/HIVNVYES.ogg,fake,fake,1904.0
YQZAOPZC,./validate/YQZAOPZC.ogg,real,real,4790.0
KFOXYZFN,./train/KFOXYZFN.ogg,fake,fake,1885.0
ARTKWEBF,./train/ARTKWEBF.ogg,real,real,3669.0
GWULMDYS,./too_short/GWULMDYS.ogg,fake,fake,912.0
QWOJYIHE,./validate/QWOJYIHE.ogg,fake,fake,1039.0
RRHUDXIY,./train/RRHUDXIY.ogg,fake,fake,1658.0
ANHEEVGU,./train/ANHEEVGU.ogg,real,real,5471.0
UMFNKGRT,./train/UMFNKGRT.ogg,real,real,8472.0
VFQWIEBZ,./train/VFQWIEBZ.ogg,fake,fake,1516.0
YHUZAPJZ,./validate/YHUZAPJZ.ogg,fake,fake,2382.0
DZAENLIL,./train/DZAENLIL.ogg,fake,fake,1109.0
ZEWUVZHJ,./train/ZEWUVZHJ.ogg,real,real,3779.0
UHJEUHOI,./train/UHJEUHOI.ogg,real,real,3347.0
EZHREGHB,./train/EZHREGHB.ogg,fake,fake,2878.0
OUCUILJU,./train/OUCUILJU.ogg,fake,fake,1297.0
HJWBHLWT,./train/HJWBHLWT.ogg,real,real,6693.0
VWRZTHWF,./train/VWRZTHWF.ogg,fake,fake,1874.0
NGZVZPGU,./train/NGZVZPGU.ogg,fake,fake,1107.0
XTWELRIB,./train/XTWELRIB.ogg,real,real,6332.0
CJUZLTZZ,./train/CJUZLTZZ.ogg,real,real,5653.0
TDQFEJMA,./too_short/TDQFEJMA.ogg,fake,fake,996.0
WYYRYUQM,./train/WYYRYUQM.ogg,fake,fake,3739.0
CTHGJSSR,./train/CTHGJSSR.ogg,fake,fake,2260.0
LVZIVRKS,./validate/LVZIVRKS.ogg,fake,fake,1511.0
GYINBCFQ,./validate/GYINBCFQ.ogg,real,real,3214.0
YJCEHMVV,./train/YJCEHMVV.ogg,real,real,3894.0
TKQGVSEZ,./train/TKQGVSEZ.ogg,real,real,8582.0
TALCUWXE,./train/TALCUWXE.ogg,real,real,3968.0
NQZEQEZE,./train/NQZEQEZE.ogg,real,real,8640.0
RJSVXMJH,./train/RJSVXMJH.ogg,fake,fake,1643.0
ZVNJJMDR,./train/ZVNJJMDR.ogg,real,real,3790.0
HCLHPNPZ,./train/HCLHPNPZ.ogg,real,real,7283.0
YTYSSKVV,./train/YTYSSKVV.ogg,real,real,3689.0
QSBBNNFL,./train/QSBBNNFL.ogg,fake,fake,1153.0
BCDHJPRH,./train/BCDHJPRH.ogg,fake,fake,1709.0
IFJISZJB,./train/IFJISZJB.ogg,fake,fake,2736.0
WOVTRZKN,./train/WOVTRZKN.ogg,real,real,1884.0
MOAWPJAU,./train/MOAWPJAU.ogg,fake,fake,1277.0
YTVVUJCR,./train/YTVVUJCR.ogg,real,real,6309.0
NAFEYWTM,./too_short/NAFEYWTM.ogg,fake,fake,764.0
BYOBBDDN,./train/BYOBBDDN.ogg,fake,fake,1370.0
EKBBYGXK,./train/EKBBYGXK.ogg,real,real,1867.0
VLOCKFFK,./train/VLOCKFFK.ogg,real,real,2465.0
KUWIMYBH,./train/KUWIMYBH.ogg,real,real,2079.0
NLEOWDCI,./train/NLEOWDCI.ogg,real,real,7917.0
GGVNXQMG,./train/GGVNXQMG.ogg,real,real,5099.0
QNEKFJXE,./train/QNEKFJXE.ogg,fake,fake,1939.0
CTWLOUTD,./train/CTWLOUTD.ogg,real,real,6000.0
TBCZQUWJ,./validate/TBCZQUWJ.ogg,fake,fake,1469.0
KNNMICKS,./train/KNNMICKS.ogg,real,real,3365.0
ICQSQZRQ,./train/ICQSQZRQ.ogg,fake,fake,1304.0
LRRPTUOP,./train/LRRPTUOP.ogg,real,real,5076.0
WWMNMDUE,./train/WWMNMDUE.ogg,fake,fake,1377.0
QJCWMZMC,./train/QJCWMZMC.ogg,fake,fake,2681.0
QWQVVWPH,./train/QWQVVWPH.ogg,real,real,1943.0
ZJXVOHMS,./train/ZJXVOHMS.ogg,fake,fake,1232.0
WGNRFSUN,./train/WGNRFSUN.ogg,real,real,8571.0
KZIOHMCU,./train/KZIOHMCU.ogg,real,real,8276.0
YEOHRYBO,./train/YEOHRYBO.ogg,real,real,7216.0
IXDISHNY,./train/IXDISHNY.ogg,real,real,2772.0
EWPKILKI,./train/EWPKILKI.ogg,fake,fake,1163.0
DOMRLKGK,./train/DOMRLKGK.ogg,fake,fake,2068.0
DAAPDOPX,./train/DAAPDOPX.ogg,real,real,2930.0
AJKSMJPZ,./validate/AJKSMJPZ.ogg,fake,fake,1400.0
SUVXKPQB,./train/SUVXKPQB.ogg,fake,fake,3241.0
HVZVGTOY,./validate/HVZVGTOY.ogg,real,real,3624.0
OGRTSNRM,./train/OGRTSNRM.ogg,fake,fake,1559.0
RSJXPFGP,./validate/RSJXPFGP.ogg,real,real,3921.0
XNISNXAW,./train/XNISNXAW.ogg,fake,fake,1390.0
HNNETWDX,./train/HNNETWDX.ogg,fake,fake,1310.0
UJEVXMLD,./validate/UJEVXMLD.ogg,real,real,8122.0
RHQSDZNG,./train/RHQSDZNG.ogg,real,real,4204.0
QBBHYXHA,./train/QBBHYXHA.ogg,real,real,6748.0
AUIQFFDK,./train/AUIQFFDK.ogg,real,real,1946.0
LBYYPDID,./validate/LBYYPDID.ogg,fake,fake,2186.0
RQCGLWDZ,./train/RQCGLWDZ.ogg,real,real,3175.0
OVCCYBUI,./train/OVCCYBUI.ogg,fake,fake,1717.0
BHXDWIRJ,./train/BHXDWIRJ.ogg,fake,fake,2794.0
QUAIQCRF,./train/QUAIQCRF.ogg,fake,fake,1313.0
LIFUXBYU,./train/LIFUXBYU.ogg,fake,fake,2748.0
DYUFYFWK,./train/DYUFYFWK.ogg,real,real,2062.0
ISWHXJPX,./train/ISWHXJPX.ogg,fake,fake,1414.0
UHKZATWH,./train/UHKZATWH.ogg,fake,fake,1789.0
LEDXGXIZ,./train/LEDXGXIZ.ogg,real,real,4303.0
DXFLTRCA,./train/DXFLTRCA.ogg,fake,fake,2912.0
JCOVXSQI,./train/JCOVXSQI.ogg,real,real,8853.0
XNKBQMUQ,./train/XNKBQMUQ.ogg,real,real,3973.0
CFQQYTVR,./validate/CFQQYTVR.ogg,fake,fake,2617.0
XKWPRUMV,./validate/XKWPRUMV.ogg,fake,fake,2572.0
ZBYTOQDP,./train/ZBYTOQDP.ogg,real,real,2275.0
BZBLRTTO,./too_short/BZBLRTTO.ogg,fake,fake,740.0
QGSBKABC,./too_short/QGSBKABC.ogg,fake,fake,992.0
XNHIQFIP,./train/XNHIQFIP.ogg,fake,fake,1790.0
UTZHBLVO,./train/UTZHBLVO.ogg,real,real,2710.0
OFBUVWSP,./train/OFBUVWSP.ogg,real,real,5792.0
XFPMOCVA,./train/XFPMOCVA.ogg,real,real,3987.0
AGBAFONA,./train/AGBAFONA.ogg,real,real,4468.0
NQNKGWVF,./train/NQNKGWVF.ogg,real,real,2694.0
QWKYFFHL,./train/QWKYFFHL.ogg,fake,fake,1375.0
XCPTQSFY,./train/XCPTQSFY.ogg,fake,fake,1762.0
JJDCAIQU,./train/JJDCAIQU.ogg,fake,fake,1462.0
DWZTXULJ,./train/DWZTXULJ.ogg,fake,fake,2126.0
LFKNJEHB,./train/LFKNJEHB.ogg,fake,fake,1384.0
QSIUKEVL,./train/QSIUKEVL.ogg,fake,fake,1474.0
LYUQOESN,./train/LYUQOESN.ogg,fake,fake,1377.0
TUUAXQDT,./train/TUUAXQDT.ogg,fake,fake,1665.0
SXRHPSOO,./train/SXRHPSOO.ogg,real,real,4007.0
STNQLIZS,./validate/STNQLIZS.ogg,real,real,4593.0
LMBZRKQO,./validate/LMBZRKQO.ogg,fake,fake,1403.0
GGVJKAHH,./train/GGVJKAHH.ogg,real,real,6865.0
JJFHKRWQ,./train/JJFHKRWQ.ogg,real,real,5790.0
SDIOMQWW,./train/SDIOMQWW.ogg,fake,fake,1657.0
EBCIUTRS,./validate/EBCIUTRS.ogg,real,real,2810.0
BURDJBWE,./validate/BURDJBWE.ogg,fake,fake,1248.0
ZQTFLDXZ,./train/ZQTFLDXZ.ogg,real,real,2748.0
MXDBXVQP,./train/MXDBXVQP.ogg,real,real,4290.0
ASOLBACE,./train/ASOLBACE.ogg,fake,fake,1195.0
FMHHFNKO,./train/FMHHFNKO.ogg,real,real,3581.0
GHHYMLXF,./train/GHHYMLXF.ogg,real,real,5871.0
UGZZBMUI,./train/UGZZBMUI.ogg,real,real,5527.0
EWWLJDVN,./train/EWWLJDVN.ogg,fake,fake,2153.0
BZSZUAGV,./validate/BZSZUAGV.ogg,fake,fake,1310.0
GWRIWIOE,./validate/GWRIWIOE.ogg,real,real,5890.0
BBDAQBOU,./train/BBDAQBOU.ogg,real,real,7059.0
FDIITBBP,./train/FDIITBBP.ogg,fake,fake,3040.0
QWSFPKDW,./train/QWSFPKDW.ogg,fake,fake,1134.0
YAFOLJYY,./train/YAFOLJYY.ogg,fake,fake,1079.0
TSGGUZHG,./train/TSGGUZHG.ogg,real,real,9258.0
EJMZNOXO,./validate/EJMZNOXO.ogg,fake,fake,2838.0
TGLMTLMT,./train/TGLMTLMT.ogg,fake,fake,1752.0
YRUFJCYC,./train/YRUFJCYC.ogg,real,real,6672.0
ASPXKYZK,./train/ASPXKYZK.ogg,real,real,4987.0
JFZPGZZQ,./validate/JFZPGZZQ.ogg,real,real,7109.0
RKKKMVUY,./train/RKKKMVUY.ogg,real,real,5174.0
TGDTJUNH,./train/TGDTJUNH.ogg,real,real,1776.0
FGXJNJHC,./train/FGXJNJHC.ogg,fake,fake,1302.0
ZOLAYBRC,./train/ZOLAYBRC.ogg,real,real,1367.0
QPTXSIND,./validate/QPTXSIND.ogg,fake,fake,1746.0
BSXOPCZF,./train/BSXOPCZF.ogg,real,real,2242.0
LNQUWIGG,./train/LNQUWIGG.ogg,real,real,2985.0
MICKLCIP,./train/MICKLCIP.ogg,real,real,6162.0
OQANOLJI,./train/OQANOLJI.ogg,fake,fake,1654.0
XCZKKAIK,./train/XCZKKAIK.ogg,fake,fake,2342.0
QICRODTF,./too_short/QICRODTF.ogg,fake,fake,878.0
YMDIKZBW,./train/YMDIKZBW.ogg,fake,fake,2271.0
OPQHIVYK,./validate/OPQHIVYK.ogg,fake,fake,1158.0
PWXTEMKK,./train/PWXTEMKK.ogg,real,real,4111.0
BPPMVRNC,./validate/BPPMVRNC.ogg,fake,fake,1068.0
JECUPIAR,./train/JECUPIAR.ogg,real,real,1904.0
VIWYEIBW,./train/VIWYEIBW.ogg,fake,fake,1147.0
QZDNEYBJ,./validate/QZDNEYBJ.ogg,fake,fake,3534.0
DOYTONAT,./train/DOYTONAT.ogg,fake,fake,2060.0
HOGAPXXL,./train/HOGAPXXL.ogg,fake,fake,1289.0
FQBDLKZP,./train/FQBDLKZP.ogg,real,real,1929.0
NRNLCRDC,./train/NRNLCRDC.ogg,fake,fake,1635.0
HULNURQL,./train/HULNURQL.ogg,real,real,7319.0
JUIWQRWA,./train/JUIWQRWA.ogg,real,real,3461.0
FYVTXOLR,./validate/FYVTXOLR.ogg,fake,fake,1126.0
CCFMBHFB,./train/CCFMBHFB.ogg,fake,fake,2373.0
HSAKWKVI,./validate/HSAKWKVI.ogg,fake,fake,1816.0
UWGCNFOP,./validate/UWGCNFOP.ogg,real,real,7902.0
PMGQMDAV,./train/PMGQMDAV.ogg,real,real,3625.0
KREDBMTI,./validate/KREDBMTI.ogg,fake,fake,1630.0
BDOWCIRH,./train/BDOWCIRH.ogg,real,real,2513.0
JEOKWPZX,./train/JEOKWPZX.ogg,real,real,6609.0
XVMOFYXW,./train/XVMOFYXW.ogg,real,real,1192.0
YTWPPXWF,./validate/YTWPPXWF.ogg,fake,fake,1054.0
UXMVBUXE,./train/UXMVBUXE.ogg,real,real,6742.0
KKPJARWV,./train/KKPJARWV.ogg,real,real,1141.0
JZQCXVDK,./too_short/JZQCXVDK.ogg,fake,fake,979.0
YJQCIYBU,./train/YJQCIYBU.ogg,fake,fake,2724.0
QIRVIJQX,./train/QIRVIJQX.ogg,real,real,3149.0
LTKBVWJQ,./train/LTKBVWJQ.ogg,real,real,5172.0
FDBBQEEL,./train/FDBBQEEL.ogg,real,real,6784.0
OLQMLZXR,./validate/OLQMLZXR.ogg,fake,fake,2142.0
JTTJIQGO,./validate/JTTJIQGO.ogg,fake,fake,1439.0
NXTWRIJY,./train/NXTWRIJY.ogg,real,real,3766.0
RHGFIISJ,./train/RHGFIISJ.ogg,fake,fake,1905.0
NAZMOKAC,./train/NAZMOKAC.ogg,real,real,7738.0
IOTMQFKA,./train/IOTMQFKA.ogg,real,real,3440.0
ELKURNQV,./too_short/ELKURNQV.ogg,fake,fake,999.0
AGVMGXSE,./train/AGVMGXSE.ogg,real,real,2775.0
YCVCQKZF,./too_short/YCVCQKZF.ogg,fake,fake,952.0
UXPBBCAW,./train/UXPBBCAW.ogg,fake,fake,1618.0
CHPBKMPB,./train/CHPBKMPB.ogg,real,real,3881.0
WDPHBWRI,./train/WDPHBWRI.ogg,fake,fake,2596.0
PMOBLBFU,./train/PMOBLBFU.ogg,fake,fake,3827.0
ZKBXPRMK,./too_short/ZKBXPRMK.ogg,fake,fake,636.0
FOQIQVBK,./train/FOQIQVBK.ogg,real,real,6534.0
IWDVRTUA,./train/IWDVRTUA.ogg,fake,fake,1362.0
PRGXSUPZ,./train/PRGXSUPZ.ogg,real,real,6956.0
KACRLFDZ,./train/KACRLFDZ.ogg,fake,fake,1670.0
NQGLHHWA,./train/NQGLHHWA.ogg,fake,fake,1197.0
EKRFWHZA,./train/EKRFWHZA.ogg,real,real,3617.0
EAMDDSCI,./train/EAMDDSCI.ogg,real,real,2011.0
YGHQCHTQ,./train/YGHQCHTQ.ogg,real,real,1268.0
PFDJJJNI,./validate/PFDJJJNI.ogg,real,real,4293.0
NLIPXOKA,./validate/NLIPXOKA.ogg,fake,fake,1750.0
LIIAQVAY,./train/LIIAQVAY.ogg,real,real,8163.0
HWDCARKV,./train/HWDCARKV.ogg,fake,fake,2851.0
ZOVSHHKR,./train/ZOVSHHKR.ogg,real,real,4268.0
CTNFOBKG,./train/CTNFOBKG.ogg,real,real,4811.0
ZHEEXLIH,./train/ZHEEXLIH.ogg,real,real,4326.0
XGDAKPYW,./train/XGDAKPYW.ogg,real,real,4986.0
MRTEZHQW,./train/MRTEZHQW.ogg,fake,fake,2719.0
